DATE,TICKER,NAME,NAV_0,PrevClose,Discount_0,NAV_Cumulative,Distribution_Cumulative,DISTRIBUTION,OPEN,HIGH,LOW,CLOSE,VOLUME,VWAP,DisplayTicker
10/29/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.479999542,8.375,-11.66,9.48,0,0,8.4375,8.625,8.375,8.625,367900,8.476233,NUV
11/1/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.479999542,8.625,-9.02,9.48,0,0,8.5625,8.625,8.5,8.5625,199600,8.555956,NUV
11/2/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.489999771,8.5625,-9.77,9.49,0,0,8.5,8.5625,8.4375,8.5,335600,8.496145,NUV
11/3/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.5,8.5,-10.53,9.50,0,0,8.5,8.5625,8.5,8.5,385700,8.503873,NUV
11/4/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.529999733,8.5,-10.81,9.53,0,0,8.5,8.5625,8.5,8.5625,117200,8.516318,NUV
11/5/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.579999924,8.5625,-10.62,9.58,0,0,8.5625,8.5625,8.5,8.5,190100,8.535672,NUV
11/8/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.579999924,8.5,-11.27,9.58,0,0,8.5,8.5625,8.4375,8.4375,329900,8.466126,NUV
11/9/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.579999924,8.4375,-11.93,9.58,0,0,8.4375,8.4375,8.375,8.375,235700,8.405733,NUV
11/10/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.529999733,8.375,-12.12,9.57,0.0425,0.0425,8.375,8.375,8.1875,8.3125,331200,8.286402,NUV
11/12/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.56000042,8.3125,-13.05,9.56,0,0,8.125,8.3125,8.125,8.25,601100,8.260773,NUV
11/15/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.56000042,8.25,-13.70,9.56,0,0,8.25,8.4375,8.25,8.375,314500,8.361347,NUV
11/16/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.569999695,8.375,-12.49,9.57,0,0,8.375,8.4375,8.3125,8.375,308600,8.367891,NUV
11/17/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.550000191,8.375,-12.30,9.55,0,0,8.375,8.4375,8.1875,8.3125,499600,8.300466,NUV
11/18/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.550000191,8.3125,-12.96,9.55,0,0,8.3125,8.3125,8.1875,8.1875,326700,8.251434,NUV
11/19/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.550000191,8.1875,-14.27,9.55,0,0,8.25,8.3125,8.1875,8.25,229300,8.241673,NUV
11/22/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.529999733,8.25,-13.43,9.53,0,0,8.1875,8.25,8.1875,8.1875,389600,8.200317,NUV
11/23/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.529999733,8.1875,-14.09,9.53,0,0,8.1875,8.25,8.125,8.1875,390800,8.171891,NUV
11/24/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.539999962,8.1875,-14.18,9.54,0,0,8.125,8.1875,8.125,8.125,284500,8.140729,NUV
11/26/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.539999962,8.125,-14.83,9.54,0,0,8.1875,8.1875,8.125,8.1875,113500,8.150055,NUV
11/29/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.520000458,8.1875,-14.00,9.52,0,0,8.125,8.1875,8.0625,8.125,557700,8.105728,NUV
11/30/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.520000458,8.125,-14.65,9.52,0,0,8.0625,8.1875,8,8.0625,777200,8.07051,NUV
12/1/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.520000458,8.0625,-15.31,9.52,0,0,8.0625,8.1875,8.0625,8.0625,673100,8.116375,NUV
12/2/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.520000458,8.0625,-15.31,9.52,0,0,8.0625,8.1875,8.0625,8.125,242200,8.09246,NUV
12/3/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.520000458,8.125,-14.65,9.52,0,0,8.125,8.1875,8.0625,8.0625,357000,8.132878,NUV
12/6/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.520000458,8.0625,-15.31,9.52,0,0,8.125,8.1875,8.0625,8.0625,491500,8.096935,NUV
12/7/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.520000458,8.0625,-15.31,9.52,0,0,8.0625,8.125,8.0625,8.0625,339400,8.081818,NUV
12/8/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.520000458,8.0625,-15.31,9.52,0,0,8.0625,8.125,8,8.125,694600,8.078056,NUV
12/9/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.520000458,8.125,-14.65,9.52,0,0,8.0625,8.1875,8.0625,8.125,373200,8.096346,NUV
12/10/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.529999733,8.125,-14.74,9.53,0,0,8.0625,8.125,8.0625,8.125,408800,8.078951,NUV
12/13/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.489999771,8.125,-14.38,9.53,0.0431,0.0431,8.125,8.125,8,8.0625,666000,8.059704,NUV
12/14/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.449999809,8.0625,-14.68,9.45,0,0,8,8.0625,7.875,7.9375,724000,7.969787,NUV
12/15/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.449999809,7.9375,-16.01,9.45,0,0,7.875,8,7.8125,7.9375,927800,7.927307,NUV
12/16/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.409999847,7.9375,-15.65,9.41,0,0,7.9375,8,7.875,8,643800,7.927581,NUV
12/17/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.449999809,8,-15.34,9.45,0,0,8,8,7.875,7.9375,604500,7.912892,NUV
12/20/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.399999619,7.9375,-15.56,9.40,0,0,8,8,7.875,7.875,875200,7.907458,NUV
12/21/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.380000114,7.875,-16.04,9.38,0,0,7.875,8,7.875,7.9375,820400,7.908972,NUV
12/22/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.359999657,7.9375,-15.20,9.36,0,0,7.9375,7.9375,7.875,7.875,754700,7.902111,NUV
12/23/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.369999886,7.875,-15.96,9.37,0,0,7.9375,7.9375,7.875,7.9375,777400,7.902712,NUV
12/27/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.369999886,7.9375,-15.29,9.37,0,0,7.875,8,7.875,7.9375,832800,7.899277,NUV
12/28/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.369999886,7.9375,-15.29,9.37,0,0,7.875,7.9375,7.875,7.875,1279800,7.891052,NUV
12/29/1999,NUV US EQUITY,Nuveen Municipal Value Fund Inc,9.369999886,7.875,-15.96,9.37,0,0,7.875,7.9375,7.8125,7.8125,886000,7.861797,NUV
